country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;place_id;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/1/21;-75;-82;-37;-70;-83;26
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/1/21;-36;-7;-22;-34;-21;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/1/21;-29;20;-24;-34;-11;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/1/21;-9;16;-7;-30;-40;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/1/21;-9;29;-3;-29;-42;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/1/21;-56;-70;-22;-57;-76;21
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/1/21;-35;1;-32;-39;-37;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/1/21;-45;-7;-39;-41;-36;17
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/1/21;-58;-22;-44;-50;-32;17
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/1/21;-58;-21;-46;-50;-28;13
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/1/21;-36;-1;-25;-35;-31;13
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/1/21;-40;-5;-26;-35;-30;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/1/21;-42;-5;-26;-35;-28;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/1/21;-43;-7;-30;-36;-30;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/1/21;-46;-7;-31;-37;-30;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/1/21;-52;-12;-28;-39;-25;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/1/21;-55;-18;-31;-45;-27;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/1/21;-40;-10;-21;-34;-28;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/1/21;-43;-10;-24;-35;-29;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/1/21;-47;-15;-37;-38;-29;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/1/21;-47;-9;-31;-36;-27;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/1/21;-52;-11;-40;-40;-29;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/1/21;-58;-14;-43;-46;-28;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/1/21;-59;-18;-34;-47;-30;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/1/21;-45;-11;-30;-36;-27;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/1/21;-46;-9;-23;-34;-27;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/1/21;-47;-9;-17;-35;-26;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/1/21;-46;-7;-14;-34;-26;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/1/21;-49;-5;-17;-35;-27;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;30/1/21;-58;-11;-35;-46;-28;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;31/1/21;-60;-15;-35;-48;-30;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/2/21;-43;-7;-16;-34;-25;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/2/21;-45;-8;-15;-35;-26;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/2/21;-46;-5;-16;-35;-25;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/2/21;-46;-4;-21;-35;-25;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/2/21;-50;-3;-27;-36;-25;12
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/2/21;-58;-9;-36;-45;-28;13
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/2/21;-58;-15;-32;-46;-30;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/2/21;-44;-8;-26;-35;-25;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/2/21;-46;-8;-31;-35;-25;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/2/21;-44;-3;-19;-34;-23;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/2/21;-43;-3;-15;-32;-23;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/2/21;-46;0;-18;-33;-23;11
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/2/21;-48;-3;-9;-35;-23;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/2/21;-46;-5;-13;-38;-23;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/2/21;-38;-6;-5;-32;-29;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/2/21;-42;-8;-5;-31;-28;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/2/21;-41;-2;-5;-29;-23;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/2/21;-40;-1;-9;-29;-22;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/2/21;-42;1;-6;-30;-23;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/2/21;-48;-6;-7;-33;-22;9
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/2/21;-55;-14;-38;-45;-26;10
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/2/21;-38;-5;-13;-32;-23;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/2/21;-38;-2;-2;-27;-21;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/2/21;-38;-1;-3;-28;-20;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/2/21;-37;2;-10;-27;-21;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/2/21;-38;5;-7;-27;-21;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/2/21;-42;0;1;-29;-18;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/2/21;-43;0;-8;-33;-19;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;1/3/21;-35;-9;-8;-30;-29;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;2/3/21;-34;2;-8;-26;-20;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;3/3/21;-33;4;-3;-25;-19;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;4/3/21;-33;4;-5;-25;-19;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;5/3/21;-35;4;-9;-25;-19;8
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;6/3/21;-39;-1;-8;-28;-17;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;7/3/21;-45;-7;-27;-37;-18;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;8/3/21;-31;-3;-15;-28;-21;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;9/3/21;-32;1;-6;-25;-19;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;10/3/21;-31;2;2;-24;-18;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;11/3/21;-31;3;-1;-24;-18;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;12/3/21;-33;5;-2;-24;-17;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;13/3/21;-36;-2;8;-25;-15;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;14/3/21;-36;1;1;-30;-15;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;15/3/21;-28;0;6;-24;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;16/3/21;-29;1;4;-23;-18;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;17/3/21;-29;4;4;-24;-17;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;18/3/21;-27;13;-8;-24;-19;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;19/3/21;-38;-20;-15;-40;-42;14
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;20/3/21;-36;1;-8;-29;-17;7
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;21/3/21;-36;1;1;-29;-14;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;22/3/21;-28;2;5;-24;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;23/3/21;-29;2;10;-22;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;24/3/21;-28;4;10;-23;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;25/3/21;-26;8;10;-20;-17;5
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;26/3/21;-30;6;4;-23;-20;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;27/3/21;-33;1;11;-23;-13;4
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;28/3/21;-31;5;18;-24;-11;2
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;29/3/21;-21;5;29;-26;-31;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;30/3/21;-21;10;29;-24;-31;6
ES;Spain;;;;;;ChIJi7xhMnjjQgwR7KNoB5Qs7KY;31/3/21;-14;27;37;-22;-32;4
